VIAL,SAMPLE,SITE,PLOT,TREAT,CORNER,ORG_MIN,COARSE_FINE,DEPTH,DIVID,BAG,NOTES,DRY_WEIGHT_BAG,DUPLICATES
252,3_2NW_MF,STEESE,3_2,2,NW,M,F,,N,NA,,284.3,
253,28_1C_MF,STEESE,28_1,1,C,M,F,,N,122,,242.75,
254,27_2C_MF,STEESE,27_2,2,C,M,F,,N,145,,167.97,
255,12_1NW_MF,DALTON,12_1,1,NW,M,F,0_5,Y,90,,42.42,
256,52_1SE_MF,DALTON,52_1,1,SE,M,F,5_10,Y,146,,67.51,
257,12_1SW_MF,DALTON,12_1,1,SW,M,F,5_10,Y,57,,141.72,
258,52_1NW_MF,DALTON,52_1,1,NW,M,F,10_15,Y,15,,71.33,
259,11_0SW_MF,DALTON,11_0,0,SW,M,F,5_10,Y,156,,55.83,
260,2_3C_MF,STEESE,2_3,3,C,M,F,,N,70,,413.84,
261,10_0C_MF,DALTON,10_0,0,C,M,F,10_15,Y,66,,80.07,
262,65_1SW_MF,DALTON,65_1,1,SW,M,F,0_5,Y,30,,51.93,
263,25_3NW_MF,STEESE,25_3,3,NW,M,F,,N,64,,366.64,
264,3_2C_MF,STEESE,3_2,2,C,M,F,,N,NA,,197.82,
265,54_3C_MF,DALTON,54_3,3,C,M,F,,N,112,,293.18,
266,12_1SW_MF,DALTON,12_1,1,SW,M,F,10_15,Y,144,NO COARSE,113.66,
267,64_1NE_MF,DALTON,64_1,1,NE,M,F,0_5,Y,33,,24.79,
268,50_1NW_MF,DALTON,50_1,1,NW,M,F,0_5,Y,124,,47.37,
269,12_1SE_MF,DALTON,12_1,1,SE,M,F,10_15,Y,106,,36.45,
270,64_1C_MF,DALTON,64_1,1,C,M,F,0_5,Y,55,,45.53,
271,65_1NW_MF,DALTON,65_1,1,NW,M,F,0_5,Y,95,,60.03,
272,64_1NW_MF,DALTON,64_1,1,NW,M,F,10_15,Y,29,,62.39,
273,11_0SW_MF,DALTON,11_0,0,SW,M,F,0_5,Y,134,,44.36,
274,12_1NE_MF,DALTON,12_1,1,NE,M,F,5_10,Y,52,,26.02,
275,17_3SE_MF,STEESE,17_3,3,SE,M,F,FULL,N,95,,349.66,
276,55_3NW_MF,DALTON,55_3,3,NW,M,F,FULL,N,131,,305.62,
277,64_1SW_MF,DALTON,64_1,1,SW,M,F,0_5,Y,17,,69.5,
278,14_3NE_MF,DALTON,14_3,3,NE,M,F,FULL,N,114,,396.09,
279,7_3C_MF,DALTON,7_3,3,C,M,F,FULL,N,79,,376.79,
280,24_3C_MF,STEESE,24_3,3,C,M,F,FULL,N,92,,346.05,
281,12_1NW_MF,DALTON,12_1,1,NW,M,F,10_15,Y,83,NO COARSE,46.39,
282,34_2C_MF,STEESE,34_2,2,C,M,F,FULL,N,122,,419.44,
283,10_0NW_MF,DALTON,10_0,0,NW,M,F,5_10,Y,97,,111.65,
284,50_1NW_MF,DALTON,50_1,1,NW,M,F,5_10,Y,40,,77.59,
285,52_1SE_MF,DALTON,52_1,1,SE,M,F,10_15,Y,128,,81.13,DUP
286,41_1SE_MF,DALTON,41_1,1,SE,M,F,FULL,N,65,,136.94,
287,8_2SW_MF,DALTON,8_2,2,SW,M,F,FULL,N,32,,374.15,
288,24_3NW_MF,STEESE,24_3,3,NW,M,F,FULL,N,50,,306.31,
289,64_1SE_MF,DALTON,64_1,1,SE,M,F,10_15,Y,41,,168.61,
290,25_3NE_MF,STEESE,25_3,3,NE,M,F,FULL,N,142,,367.17,
291,24_3NE_MF,STEESE,24_3,3,NE,M,F,FULL,N,102,,362.48,
292,35_3NE_MF,STEESE,35_3,3,NE,M,F,FULL,N,137,,333.25,
293,14_3SE_MF,DALTON,14_3,3,SE,M,F,FULL,N,118,,374.26,
294,40_2NE_MF,DALTON,40_2,2,NE,M,F,FULL,N,105,,153.93,
295,10_0SW_MF,DALTON,10_0,0,SW,M,F,10_15,Y,33,,87.53,
296,42_1NE_MF,DALTON,42_1,1,NE,M,F,FULL,N,70,,347.23,
297,39_2C_MF,DALTON,39_2,2,C,M,F,FULL,N,24,21-Jun,394.65,
298,65_1SE_MF,DALTON,65_1,1,SE,M,F,10_15,Y,126,NO COARSE,68.35,
299,34_2NE_MF,STEESE,34_2,2,NE,M,F,FULL,N,85,,249.71,
300,8_2NE_MF,DALTON,8_2,2,NE,M,F,FULL,N,124,,321.38,
301,40_2C_MF,DALTON,40_2,2,C,M,F,FULL,N,153,,253.2,
302,7_3NW_MF,DALTON,7_3,3,NW,M,F,FULL,N,139,,368.96,
303,35_3NW_MF,STEESE,35_3,3,NW,M,F,FULL,N,41,,256.51,
304,24_3SW_MF,STEESE,24_3,3,SW,M,F,FULL,N,139,,393.39,
305,14_3NW_MF,DALTON,14_3,3,NW,M,F,FULL,N,111,,309.77,
306,52_1SE_MF,DALTON,52_1,1,SE,M,F,0_5,Y,11,,51.78,
307,48_1SE_MF,DALTON,48_1,1,SE,M,F,FULL,N,43,,332.99,
308,39_2SE_MF,DALTON,39_2,2,SE,M,F,FULL,N,23,,414.96,
309,24_3SW_O,STEESE,24_3,3,SW,O,,,N,NA,,25.42,
310,22_3C_O,STEESE,22_3,3,C,O,,,N,,,13.28,
311,7_3C_O,DALTON,7_3,3,C,O,,,N,88,,12.02,
312,25_3C_O,STEESE,25_3,3,C,O,,,N,NA,,39.98,
313,35_3NW_O,STEESE,35_3,3,NW,O,,,N,NA,,6.86,
314,65_1SW_O,DALTON,65_1,1,SW,O,,,Y,13,,21.24,
315,24_3C_O,STEESE,24_3,3,C,O,,,N,NA,,3.35,
316,35_3SW_O,STEESE,35_3,3,SW,O,,,N,NA,,26.87,
317,32_2SW_MC,DALTON,32_2,2,SW,M,C,0_5,Y,78,,0,
318,15_3SE_MC,DALTON,15_3,3,SE,M,C,0_5,Y,4,,1.15,
319,15_3SW_MC,DALTON,15_3,3,SW,M,C,0_5,Y,17,,0,
