VIAL,SAMPLE,SITE,PLOT,TREAT,CORNER,ORG_MIN,COARSE_FINE,DEPTH,DIVID,BAG,VIAL_WEIGHT,NOTES
753,34_2SE_MC,,34_2,2,SE,M,C,,Y,56,20.76,
754,14_3C_O,,14_3,3,C,O,,,N,36,4.08,
755,14_3SW_O,,14_3,3,SW,O,,,N,62,8.78,
756,12_1SE_MC,,12_1,1,SE,M,C,10_15,Y,106,1.62,
757,10_0NW_MC,,10_0,0,NW,M,C,0_5,Y,141,1.35,
758,20_1NE_O,,20_1,1,NE,O,,,N,NA,7.04,
759,12_1SW_MC,,12_1,1,SW,M,C,5_10,Y,57,4.41,
760,12_1C_MC,,12_1,1,C,M,C,10_15,Y,44,0.4,
761,5_1NE_O,,5_1,1,NE,O,,,N,60,7.9,
762,11_0NE_O,,11_0,0,NE,O,,,N,130,4.36,
763,11_0C_MC,,11_0,0,C,M,C,0_5,Y,129,12.4,
764,10_0NE_MC,,10_0,0,NE,M,C,0_5,Y,104,1.9,
765,48_1C_MC,,48_1,1,C,M,C,,Y,17,12.26,
766,48_1C_MF,,48_1,1,C,M,F,,Y,17,18.28,
767,41_1NE_MF,,41_1,1,NE,M,F,,Y,13,17.35,
768,10_0C_MC,,10_0,0,C,M,C,0_5,Y,80,13.98,
769,10_0C_MF,,10_0,0,C,M,F,0_5,Y,80,19.12,
770,10_0NE_MC,,10_0,0,NE,M,C,10_15,Y,161,12.2,
771,10_0NE_MF,,10_0,0,NE,M,F,10_15,Y,161,14.83,
772,15_3NW_O,,15_3,3,NW,O,,,N,80,6.13,
773,56_2NW_O,,56_2,2,NW,O,,,N,66,8.97,
774,65_1NE_O,,65_1,1,NE,O,,,N,27,6.72,
775,39_2SW_O,,39_2,2,SW,O,,,N,95,4.89,
776,8_2SE_O,,8_2,2,SE,O,,,N,144,6.46,
777,39_2SW_O,,39_2,2,SW,O,,,N,71,5.21,
778,33_1SW_O,,33_1,1,SW,O,,,N,NA,5.1,
779,39_2SE_O,,39_2,2,SE,O,,,N,106,2.95,
780,32_2NE_O,,32_2,2,NE,O,,,N,64,4.04,
781,65_1SW_MC,,65_1,1,SW,M,C,10_15,Y,12,6.18,
782,50_1NE_O,,50_1,1,NE,O,,,N,105,5.21,
783,47_2NE_O,,47_2,2,NE,O,,,N,102,5.68,
784,65_1C_O,,65_1,1,C,O,,,N,80,3.54,
785,64_1SE_O,,64_1,1,SE,O,,,N,62,8.31,
786,32_2NW_O,,32_2,2,NW,O,,,N,71,9.02,
787,64_1NE_MC,,64_1,1,NE,M,C,0_5,Y,33,9.25,
788,10_0C_O,,10_0,0,C,O,,,N,59,3.94,
789,8_2SW_O,,8_2,2,SW,O,,,N,75,5.03,
790,42_1C_MF,,42_1,1,C,M,F,,Y,78,17.63,
791,16_2C_MF,,16_2,2,C,M,F,,Y,NA,18.81,
792,2_3SW_MF,,2_3,3,SW,M,F,,Y,100,20.71,
793,55_3NE_MF,,55_3,3,NE,M,F,,Y,NA,19.26,
794,2_3NW_MC,,2_3,3,NW,M,C,,Y,46,20.27,
795,58_0SE_MC,,58_0,0,SE,M,C,5_10,Y,77,14.01,
796,58_0SE_MF,,58_0,0,SE,M,F,5_10,Y,77,18.14,
797,42_1C_MC,,42_1,1,C,M,C,,Y,NA,17.39,
798,16_2C_MC,,16_2,2,C,M,C,,Y,NA,18.66,
799,2_3SW_MC,,2_3,3,SW,M,C,,Y,100,19.54,
800,55_3NE_MC,,55_3,3,NE,M,C,,Y,NA,17.59,
801,36_1C_MC,,36_1,1,C,M,C,,Y,155,18.93,
802,16_2SE_O,,16_2,2,SE,O,,,N,154,5.51,
803,11_0NW_M,,11_0,0,NW,M,C,0_5,Y,145,3.66,
804,44_0SW_MC,,44_0,0,SW,M,C,,Y,138,4.35,
805,23_3NW_MC,,23_3,3,NW,M,C,,Y,59,20.43,
806,52_1NE_O,,52_1,1,NE,O,,,N,10,8.94,
807,15_3C_O,,15_3,3,C,O,,,N,15,8.75,
808,48_1C_O,,48_1,1,C,O,,,N,121,7.4,
809,39_2NW_O,,39_2,2,NW,O,,,N,93,6.08,
810,54_3SE_O,,54_3,3,SE,O,,,N,3,9.33,
811,28_1NW_O,,28_1,1,NW,O,,,N,69,8.54,
812,56_2NW_MC,,56_2,2,NW,M,C,0_5,Y,32,1.25,
813,18_1SW_O,,18_1,1,SW,O,,,N,NA,10.34,
814,32_2C_O,,32_2,2,C,O,,,N,97,12.61,
815,15_3NE_O,,15_3,3,NE,O,,,N,99,4.78,
816,11_0SW_MC,,11_0,0,SW,M,C,5_10,Y,156,2.57,
817,12_1SW_MC,,12_1,1,SW,M,C,0_5,Y,77,1.53,
818,11_0NW_MC,,11_0,0,NW,M,C,5_10,Y,147,2.81,
819,36_1NE_O,,36_1,1,NE,O,,,Y,NA,9.77,
820,50_1SW_MC,,50_1,1,SW,M,C,5_10,Y,28,1.76,
821,52_1SW_O,,52_1,1,SW,O,,,N,123,10.15,
822,58_0NW_MC,,58_0,0,NW,M,C,10_15,Y,NA,14.12,
823,11_0C_MF,,11_0,0,C,M,F,0_5,Y,129,18.68,
