TREE,STEM,BRANCH,TWIG,WIDTH_IN,WET_WEIGHT,DRY_WEIGHT,DBH,HEIGHT_M
TREE8,S5,B1,T0,6,16.66,12.65,,
TREE8,S5,B1,T1,4,11.57,9.23,,
TREE8,S5,B1,T2,3,9.91,8.11,,
TREE8,S5,B1,T3,3,9.95,8.2,,
TREE8,S5,B1,T4,3,9.58,8.02,,
TREE8,S5,B1,T5,3,9.58,8.06,,
TREE8,S5,B1,T6,3,9.03,7.53,,
TREE8,S5,B2,T0,3,10.92,8.77,,
TREE8,S6,B0,T0,14,31.6,22.11,,
TREE8,S6,B1,T0,8,20.02,14.26,,
TREE8,S6,B1,T1,3,11.16,8.78,,
TREE8,S6,B1,T2,3,9.2,7.66,,
TREE8,S6,B1,T3,3,9.89,8.12,,
TREE8,S6,B1,T4,4,8.77,7.35,,
TREE8,S6,B1,T5,2,8.73,7.32,,
TREE8,S6,B2,T0,3,9.47,7.85,,
TREE8,S7,B0,T0,8,21.79,15.65,,
TREE8,S7,B1,T0,6,9.36,7.73,,
TREE8,S8,B0,T0,8,27.96,19.84,,
TREE8,S9,B0,T0,18,28.38,20.54,,
TREE8,S9,B1,T0,4,10.82,8.91,,
TREE8,S10,B0,T0,29,53.38,37.76,,
TREE9,S0,,,,,,10,2.11
TREE9,S1,B0,T0,6,12.74,9.99,,
TREE9,S1,B1,T0,5,10.32,8.52,,
TREE9,S1,B2,T0,4,8.81,7.53,,
TREE9,S2,B0,T0,9,16.24,12.4,,
TREE9,S2,B1,T0,5,13.27,10.52,,
TREE9,S2,B2,T0,4,10.54,8.7,,
TREE9,S2,B3,T0,3,10.7,8.75,,
TREE9,S2,B4,T0,3,10.73,8.74,,
TREE9,S2,B5,T0,4,11.99,9.63,,
TREE9,S2,B6,T0,5,13.81,10.89,,
TREE9,S2,B6,T1,4,9.59,8.08,,
TREE9,S2,B6,T2,5,9.81,8.18,,
TREE9,S3,B0,T0,11,16.75,12.74,,
TREE9,S3,B1,T0,4,10.47,8.52,,
TREE9,S4,B0,T0,13,18.72,13.92,,
TREE9,S4,B1,T0,5,11.91,9.55,,
TREE9,S4,B2,T0,4,12.19,9.57,,
TREE9,S4,B3,T0,4,11.92,9.61,,
TREE9,S4,B4,T0,5,13.58,10.53,,
TREE9,S5,B0,T0,14,20.42,15.07,,
TREE9,S5,B1,T0,5,13.4,10.62,,
TREE9,S5,B2,T0,4,10.58,8.68,,
TREE9,S5,B3,T0,3,9.04,7.69,,
TREE9,S6,B0,T0,14,23.73,18.15,,
TREE9,S7,B0,T0,15,29.93,21.29,,
TREE9,S8,B0,T0,16,30.33,22.78,,
TREE9,S9,B0,T0,24,67.68,49.14,,
TREE10,S0,,,,,,10,2.2
TREE10,S1,B0,T0,8,16.21,12.29,,
TREE10,S1,B1,T0,5,11.42,9.28,,
TREE10,S1,B2,T0,5,10.19,8.34,,
TREE10,S1,B3,T0,4,9.01,7.58,,
TREE10,S1,B4,T0,4,10.12,8.39,,
TREE10,S1,B5,T0,4,9.71,8.07,,
TREE10,S1,B6,T0,4,9.69,8.06,,
TREE10,S2,B0,T0,9,14.85,11.09,,
TREE10,S3,B0,T0,12,19.66,14.45,,
TREE10,S3,B1,T0,4,15.58,11.66,,
TREE10,S3,B2,T0,4,11.87,9.37,,
TREE10,S3,B3,T0,4,13.09,10.1,,
TREE10,S3,B4,T0,4,11.79,9.48,,
TREE10,S3,B5,T0,3,9.56,8.01,,
TREE10,S4,B0,T0,14,22.46,16.09,,
TREE10,S4,B1,T0,3,9.85,8.27,,
TREE10,S4,B2,T0,3,9.24,7.81,,
TREE10,S4,B3,T0,3,9.65,8.03,,
TREE10,S5,B0,T0,16,43.42,29.72,,
TREE10,S5,B1,T0,7,17.35,12.99,,
TREE10,S5,B1,T1,4,12.05,9.32,,
TREE10,S5,B1,T2,3,10.5,8.43,,
TREE10,S5,B1,T3,2,10.28,8.28,,
TREE10,S5,B1,T4,3,9.65,7.89,,
TREE10,S5,B2,T0,3,12.35,9.51,,
TREE10,S5,B3,T0,8,10.17,8.37,,
TREE10,S5,B3,T1,3,9.94,8.08,,
TREE10,S6,B0,T0,17,37.24,25.59,,
TREE10,S6,B1,T0,4,10.94,8.7,,
TREE10,S7,B0,T0,25,101.42,68.59,,
