"SITE","FIRES","PLOT","SPECIES","BIOMASS_SUM","BIOMASS_AV"
"STEESE",2,"27_2","BENE",1312.53327341605,77.2078396127089
"STEESE",2,"27_2","PIME",331364.267533699,2808.17175876016
"STEESE",2,"27_2","POTR",17.6503291701272,17.6503291701272
"STEESE",2,"27_2","SALIX",4528.55289859115,1132.13822464779
"STEESE",2,"3_2","BENE",3817.62984880168,293.663834523206
"STEESE",2,"3_2","PIME",199960.410772541,2856.57729675058
"STEESE",2,"3_2","POTR",41.4677900686975,10.3669475171744
"STEESE",3,"17_3","BENE",185.363724763115,92.6818623815577
"STEESE",3,"17_3","PIME",7177.36744359904,1794.34186089976
"STEESE",3,"17_3","POTR",71010.8619389787,622.90229771034
"STEESE",3,"17_3","SALIX",78713.3481801151,629.706785440921
"STEESE",3,"2_3","BENE",13903.134432544,1263.92131204945
"STEESE",3,"2_3","POTR",152874.744761038,1887.34252791405
"STEESE",3,"2_3","SALIX",29366.9288199631,863.733200587149
"STEESE",3,"22_3","BENE",7470.8413297503,257.615218267252
"STEESE",3,"22_3","PIME",447.241461287617,447.241461287617
"STEESE",3,"22_3","POTR",51055.3325078173,785.466653966419
"STEESE",3,"22_3","SALIX",101924.490534512,815.395924276097
"STEESE",3,"23_3","BENE",4941.98879041343,260.104673179654
"STEESE",3,"23_3","POTR",19055.3436099165,544.438388854757
"STEESE",3,"23_3","SALIX",47040.5992179432,627.207989572576
"STEESE",3,"24_3","BENE",6477.12006372367,1619.28001593092
"STEESE",3,"24_3","POTR",289698.588318383,2868.30285463746
"STEESE",3,"24_3","SALIX",99108.2914065776,678.823913743682
"STEESE",3,"25_3","BENE",3192.81141089312,3192.81141089312
"STEESE",3,"25_3","POTR",51455.3068957857,1169.43879308604
"STEESE",3,"25_3","SALIX",55788.9132504275,648.708293609622
"STEESE",3,"35_3","ALCR",301.793007048326,150.896503524163
"STEESE",3,"35_3","BENE",31522.5773443099,900.645066980284
