"SITE","TREAT","PLOT","Type","Carbon_m2"
"DALTON",2,"56_2","Soil",3958.26536815007
"DALTON",2,"56_2","totalC",6007.01192689224
"DALTON",2,"57_2","Overstory",1334.00149071599
"DALTON",2,"57_2","CWD",1827.35657
"DALTON",2,"57_2","Soil",3169.35560795103
"DALTON",2,"57_2","totalC",6330.71366866701
"DALTON",2,"8_2","Overstory",1232.5942058627
"DALTON",2,"8_2","CWD",1164.864936
"DALTON",2,"8_2","Soil",2245.76519799665
"DALTON",2,"8_2","totalC",4643.22433985936
"DALTON",3,"14_3","Overstory",362.706542615649
"DALTON",3,"14_3","CWD",4841.502276
"DALTON",3,"14_3","Soil",4172.42117910462
"DALTON",3,"14_3","totalC",9376.62999772027
"DALTON",3,"15_3","Overstory",1967.9826245273
"DALTON",3,"15_3","CWD",679.0584681
"DALTON",3,"15_3","Soil",2451.30928476115
"DALTON",3,"15_3","totalC",5098.35037738844
"DALTON",3,"37_3","Overstory",422.188511225746
"DALTON",3,"37_3","CWD",2669.789814
"DALTON",3,"37_3","Soil",2562.59525301786
"DALTON",3,"37_3","totalC",5654.5735782436
"DALTON",3,"54_3","Overstory",471.594215820359
"DALTON",3,"54_3","CWD",2645.915494
"DALTON",3,"54_3","Soil",2816.90951697439
"DALTON",3,"54_3","totalC",5934.41922679475
"DALTON",3,"55_3","Overstory",842.57900228883
"DALTON",3,"55_3","CWD",2906.861641
"DALTON",3,"55_3","Soil",1701.80167417111
"DALTON",3,"55_3","totalC",5451.24231745994
"DALTON",3,"7_3","Overstory",1471.65106935204
"DALTON",3,"7_3","CWD",1916.979221
"DALTON",3,"7_3","Soil",1789.56021733302
"DALTON",3,"7_3","totalC",5178.19050768507
"STEESE",0,"1_0","Overstory",4102.44019699479
"STEESE",0,"1_0","CWD",2995.698045
"STEESE",0,"1_0","Soil",3069.21272879278
"STEESE",0,"1_0","totalC",10167.3509707876
"STEESE",0,"31_0","Overstory",3431.20449585626
"STEESE",0,"31_0","CWD",4660.344866
"STEESE",0,"31_0","Soil",9978.51307144011
"STEESE",0,"31_0","totalC",18070.0624332964
"STEESE",0,"6_0","Overstory",5142.53887688788
"STEESE",0,"6_0","CWD",1981.150869
"STEESE",0,"6_0","Soil",3701.01889391459
"STEESE",0,"6_0","totalC",10824.7086398025
"STEESE",0,"9_0","Overstory",6223.37066497305
"STEESE",0,"9_0","CWD",2445.340621
"STEESE",0,"9_0","Soil",9173.93801705217
"STEESE",0,"9_0","totalC",17842.6493030252
"STEESE",1,"18_1","Overstory",1890.14843915937
"STEESE",1,"18_1","CWD",6235.957693
"STEESE",1,"18_1","Soil",4129.69304742437
"STEESE",1,"18_1","totalC",12255.7991795837
"STEESE",1,"20_1","Overstory",2608.11544839675
"STEESE",1,"20_1","CWD",3214.085584
"STEESE",1,"20_1","Soil",9848.06556611764
"STEESE",1,"20_1","totalC",15670.2665985144
"STEESE",1,"28_1","Overstory",2596.10033412745
"STEESE",1,"28_1","CWD",986.4454599
"STEESE",1,"28_1","Soil",5224.72101582463
"STEESE",1,"28_1","totalC",8807.26680985208
"STEESE",1,"29_1","Overstory",920.86022542438
"STEESE",1,"29_1","CWD",5511.675857
"STEESE",1,"29_1","Soil",5033.13220007716
"STEESE",1,"29_1","totalC",11465.6682825015
"STEESE",1,"33_1","Overstory",3026.62134685657
"STEESE",1,"33_1","CWD",2508.212273
"STEESE",1,"33_1","Soil",4562.82554602243
"STEESE",1,"33_1","totalC",10097.659165879
"STEESE",1,"36_1","Overstory",2277.18443613729
"STEESE",1,"36_1","CWD",9849.011628
"STEESE",1,"36_1","Soil",6227.99528934771
"STEESE",1,"36_1","totalC",18354.191353485
"STEESE",1,"5_1","Overstory",1976.6185301654
"STEESE",1,"5_1","CWD",2966.656713
"STEESE",1,"5_1","Soil",5921.74463710397
"STEESE",1,"5_1","totalC",10865.0198802694
"STEESE",2,"19_2","Overstory",2298.47830295888
"STEESE",2,"19_2","CWD",3056.86972
"STEESE",2,"19_2","Soil",9145.61933501883
"STEESE",2,"19_2","totalC",14500.9673579777
"STEESE",2,"26_2","Overstory",2990.44615331133
"STEESE",2,"26_2","CWD",1651.743226
"STEESE",2,"26_2","Soil",4577.66280328416
"STEESE",2,"26_2","totalC",9219.85218259549
"STEESE",2,"27_2","Overstory",2611.26231039743
"STEESE",2,"27_2","CWD",2222.114299
"STEESE",2,"27_2","Soil",6921.49483903183
"STEESE",2,"27_2","totalC",11754.8714484293
"STEESE",2,"3_2","Overstory",2797.60577354518
"STEESE",2,"3_2","CWD",1247.586497
"STEESE",2,"3_2","Soil",7597.92850647801
"STEESE",2,"3_2","totalC",11643.1207770232
"STEESE",2,"34_2","Overstory",1957.80481161427
"STEESE",2,"34_2","CWD",1175.854947
"STEESE",2,"34_2","Soil",4473.9233234395
"STEESE",2,"34_2","totalC",7607.58308205377
"STEESE",2,"4_2","Overstory",1535.97944288284
"STEESE",2,"4_2","CWD",1346.030931
"STEESE",2,"4_2","Soil",7851.99810134508
"STEESE",2,"4_2","totalC",10734.0084752279
"STEESE",3,"17_3","Overstory",737.758598229859
"STEESE",3,"17_3","CWD",1905.656391
"STEESE",3,"17_3","Soil",4561.16613766083
"STEESE",3,"17_3","totalC",7204.58112689069
"STEESE",3,"2_3","Overstory",465.42712246685
"STEESE",3,"2_3","CWD",1388.91864
"STEESE",3,"2_3","Soil",2602.53832060734
"STEESE",3,"2_3","totalC",4456.88408307419
"STEESE",3,"22_3","Overstory",652.214252175943
"STEESE",3,"22_3","CWD",1852.396659
"STEESE",3,"22_3","Soil",6008.60566450049
"STEESE",3,"22_3","totalC",8513.21657567643
"STEESE",3,"23_3","Overstory",364.19311600206
"STEESE",3,"23_3","CWD",737.5399738
"STEESE",3,"23_3","Soil",4002.9018573383
"STEESE",3,"23_3","totalC",5104.63494714036
"STEESE",3,"24_3","Overstory",925.482935871535
"STEESE",3,"24_3","CWD",291.7606959
"STEESE",3,"24_3","Soil",2866.97881510198
"STEESE",3,"24_3","totalC",4084.22244687352
"STEESE",3,"25_3","Overstory",NA
"STEESE",3,"25_3","CWD",614.3527101
"STEESE",3,"25_3","Soil",3719.29538347864
"STEESE",3,"25_3","totalC",NA
"STEESE",3,"35_3","Overstory",333.923446533303
"STEESE",3,"35_3","CWD",753.4819199
"STEESE",3,"35_3","Soil",3132.15870334155
"STEESE",3,"35_3","totalC",4219.56406977485
