"SITE","TREAT","PLOT","TAB","veg_weight_gm2","Type","Carbon_m2"
"DALTON",3,"37_3",642.233360668891,16.6666666666667,"CWD",0.2669789814
"DALTON",3,"37_3",642.233360668891,16.6666666666667,"Soil",79.5618414696809
"DALTON",3,"37_3",642.233360668891,16.6666666666667,"totalC",721.795202138572
"DALTON",3,"37_3",641.566694002225,16,"Overstory",605.135629390855
"DALTON",3,"37_3",641.566694002225,16,"Understory",20.1640856299696
"DALTON",3,"37_3",641.566694002225,16,"CWD",0.2669789814
"DALTON",3,"37_3",641.566694002225,16,"Soil",79.5618414696809
"DALTON",3,"37_3",641.566694002225,16,"totalC",721.128535471906
"DALTON",3,"54_3",882.931698366295,31.3333333333333,"Overstory",793.973050422259
"DALTON",3,"54_3",882.931698366295,31.3333333333333,"Understory",57.3607230613022
"DALTON",3,"54_3",882.931698366295,31.3333333333333,"CWD",0.2645915494
"DALTON",3,"54_3",882.931698366295,31.3333333333333,"Soil",271.755171423905
"DALTON",3,"54_3",882.931698366295,31.3333333333333,"totalC",1154.6868697902
"DALTON",3,"54_3",918.598365032961,67,"Overstory",793.973050422259
"DALTON",3,"54_3",918.598365032961,67,"Understory",57.3607230613022
"DALTON",3,"54_3",918.598365032961,67,"CWD",0.2645915494
"DALTON",3,"54_3",918.598365032961,67,"Soil",271.755171423905
"DALTON",3,"54_3",918.598365032961,67,"totalC",1190.35353645687
"DALTON",3,"54_3",854.598365032961,3,"Overstory",793.973050422259
"DALTON",3,"54_3",854.598365032961,3,"Understory",57.3607230613022
"DALTON",3,"54_3",854.598365032961,3,"CWD",0.2645915494
"DALTON",3,"54_3",854.598365032961,3,"Soil",271.755171423905
"DALTON",3,"54_3",854.598365032961,3,"totalC",1126.35353645687
"DALTON",3,"54_3",867.598365032961,16,"Overstory",793.973050422259
"DALTON",3,"54_3",867.598365032961,16,"Understory",57.3607230613022
"DALTON",3,"54_3",867.598365032961,16,"CWD",0.2645915494
"DALTON",3,"54_3",867.598365032961,16,"Soil",271.755171423905
"DALTON",3,"54_3",867.598365032961,16,"totalC",1139.35353645687
"DALTON",3,"54_3",868.265031699628,16.6666666666667,"Overstory",793.973050422259
"DALTON",3,"54_3",868.265031699628,16.6666666666667,"Understory",57.3607230613022
"DALTON",3,"54_3",868.265031699628,16.6666666666667,"CWD",0.2645915494
"DALTON",3,"54_3",868.265031699628,16.6666666666667,"Soil",271.755171423905
"DALTON",3,"54_3",868.265031699628,16.6666666666667,"totalC",1140.02020312353
"DALTON",3,"54_3",867.598365032961,16,"Overstory",793.973050422259
"DALTON",3,"54_3",867.598365032961,16,"Understory",57.3607230613022
"DALTON",3,"54_3",867.598365032961,16,"CWD",0.2645915494
"DALTON",3,"54_3",867.598365032961,16,"Soil",271.755171423905
"DALTON",3,"54_3",867.598365032961,16,"totalC",1139.35353645687
"DALTON",3,"55_3",1246.52355494101,31.3333333333333,"Overstory",1082.21100040461
"DALTON",3,"55_3",1246.52355494101,31.3333333333333,"Understory",132.68853503897
"DALTON",3,"55_3",1246.52355494101,31.3333333333333,"CWD",0.2906861641
"DALTON",3,"55_3",1246.52355494101,31.3333333333333,"Soil",221.08613564639
"DALTON",3,"55_3",1246.52355494101,31.3333333333333,"totalC",1467.6096905874
"DALTON",3,"55_3",1282.19022160768,67,"Overstory",1082.21100040461
"DALTON",3,"55_3",1282.19022160768,67,"Understory",132.68853503897
"DALTON",3,"55_3",1282.19022160768,67,"CWD",0.2906861641
"DALTON",3,"55_3",1282.19022160768,67,"Soil",221.08613564639
"DALTON",3,"55_3",1282.19022160768,67,"totalC",1503.27635725407
"DALTON",3,"55_3",1218.19022160768,3,"Overstory",1082.21100040461
"DALTON",3,"55_3",1218.19022160768,3,"Understory",132.68853503897
"DALTON",3,"55_3",1218.19022160768,3,"CWD",0.2906861641
"DALTON",3,"55_3",1218.19022160768,3,"Soil",221.08613564639
"DALTON",3,"55_3",1218.19022160768,3,"totalC",1439.27635725407
"DALTON",3,"55_3",1231.19022160768,16,"Overstory",1082.21100040461
"DALTON",3,"55_3",1231.19022160768,16,"Understory",132.68853503897
"DALTON",3,"55_3",1231.19022160768,16,"CWD",0.2906861641
"DALTON",3,"55_3",1231.19022160768,16,"Soil",221.08613564639
"DALTON",3,"55_3",1231.19022160768,16,"totalC",1452.27635725407
"DALTON",3,"55_3",1231.85688827435,16.6666666666667,"Overstory",1082.21100040461
